"","X0","cluster","cells","cellnames"
"1",0,6,"RHC3546__Tcell__.C6E879","RHC3546__Tcell__.C6E879"
"2",0,1,"RHC3546__Tcell__.C6E879","RHC3552__Epithelial__.2749FE"
"3",0,1,"RHC3546__Tcell__.C6E879","RHC3553__Epithelial__.2749FE"
"4",0,6,"RHC3546__Tcell__.C6E879","RHC3555__Bcell__.7DEA7B"
"5",0,5,"RHC3546__Tcell__.C6E879","RHC3556__Epithelial__.2749FE"
"6",0,6,"RHC3546__Tcell__.C6E879","RHC3557__Bcell__.7DEA7B"
"7",0,6,"RHC3546__Tcell__.C6E879","RHC3562__Bcell__.7DEA7B"
"8",0,1,"RHC3546__Tcell__.C6E879","RHC3563__Bcell__.7DEA7B"
"9",0,5,"RHC3546__Tcell__.C6E879","RHC3565__Epithelial__.2749FE"
"10",0,5,"RHC3546__Tcell__.C6E879","RHC3567__Epithelial__.2749FE"
"11",0,1,"RHC3546__Tcell__.C6E879","RHC3568__Epithelial__.2749FE"
"12",0,5,"RHC3546__Tcell__.C6E879","RHC3569__Epithelial__.2749FE"
"13",0,1,"RHC3546__Tcell__.C6E879","RHC3570__NA__grey"
"14",0,5,"RHC3546__Tcell__.C6E879","RHC3577__Epithelial__.2749FE"
"15",0,5,"RHC3546__Tcell__.C6E879","RHC3579__Epithelial__.2749FE"
"16",0,5,"RHC3546__Tcell__.C6E879","RHC3581__Epithelial__.2749FE"
"17",0,2,"RHC3546__Tcell__.C6E879","RHC3582__Macrophage__.FFFF55"
"18",0,1,"RHC3546__Tcell__.C6E879","RHC3584__Epithelial__.2749FE"
"19",0,1,"RHC3546__Tcell__.C6E879","RHC3585__Epithelial__.2749FE"
"20",0,5,"RHC3546__Tcell__.C6E879","RHC3589__Epithelial__.2749FE"
"21",0,1,"RHC3546__Tcell__.C6E879","RHC3590__Epithelial__.2749FE"
"22",0,7,"RHC3546__Tcell__.C6E879","RHC3591__Epithelial__.2749FE"
"23",0,1,"RHC3546__Tcell__.C6E879","RHC3593__Epithelial__.2749FE"
"24",0,6,"RHC3546__Tcell__.C6E879","RHC3594__Bcell__.7DEA7B"
"25",0,5,"RHC3546__Tcell__.C6E879","RHC3596__Bcell__.7DEA7B"
"26",0,2,"RHC3546__Tcell__.C6E879","RHC3597__Epithelial__.2749FE"
"27",0,1,"RHC3546__Tcell__.C6E879","RHC3598__Epithelial__.2749FE"
"28",0,2,"RHC3546__Tcell__.C6E879","RHC3599__Epithelial__.2749FE"
"29",0,6,"RHC3546__Tcell__.C6E879","RHC3600__Bcell__.7DEA7B"
"30",0,6,"RHC3546__Tcell__.C6E879","RHC3602__Bcell__.7DEA7B"
"31",0,1,"RHC3546__Tcell__.C6E879","RHC3606__NA__grey"
"32",0,1,"RHC3546__Tcell__.C6E879","RHC3608__Epithelial__.2749FE"
"33",0,1,"RHC3546__Tcell__.C6E879","RHC3609__Epithelial__.2749FE"
"34",0,1,"RHC3546__Tcell__.C6E879","RHC3617__Epithelial__.2749FE"
"35",0,1,"RHC3546__Tcell__.C6E879","RHC3619__Epithelial__.2749FE"
"36",0,5,"RHC3546__Tcell__.C6E879","RHC3621__Epithelial__.2749FE"
"37",0,1,"RHC3546__Tcell__.C6E879","RHC3625__Epithelial__.2749FE"
"38",0,1,"RHC3546__Tcell__.C6E879","RHC3628__Epithelial__.2749FE"
"39",0,5,"RHC3546__Tcell__.C6E879","RHC3629__Epithelial__.2749FE"
"40",0,6,"RHC3546__Tcell__.C6E879","RHC3633__Bcell__.7DEA7B"
"41",0,5,"RHC3546__Tcell__.C6E879","RHC3635__Epithelial__.2749FE"
"42",0,1,"RHC3546__Tcell__.C6E879","RHC3638__Epithelial__.2749FE"
"43",0,5,"RHC3546__Tcell__.C6E879","RHC3640__Epithelial__.2749FE"
"44",0,5,"RHC3546__Tcell__.C6E879","RHC3641__Epithelial__.2749FE"
"45",0,3,"RHC3546__Tcell__.C6E879","RHC3835__Fibroblast__.FB4E09"
"46",0,3,"RHC3546__Tcell__.C6E879","RHC3836__Epithelial__.2749FE"
"47",0,3,"RHC3546__Tcell__.C6E879","RHC3837__Epithelial__.2749FE"
"48",0,3,"RHC3546__Tcell__.C6E879","RHC3838__Epithelial__.2749FE"
"49",0,3,"RHC3546__Tcell__.C6E879","RHC3839__Epithelial__.2749FE"
"50",0,3,"RHC3546__Tcell__.C6E879","RHC3840__Epithelial__.2749FE"
"51",0,3,"RHC3546__Tcell__.C6E879","RHC3843__Fibroblast__.FB4E09"
"52",0,3,"RHC3546__Tcell__.C6E879","RHC3844__Epithelial__.2749FE"
"53",0,5,"RHC3546__Tcell__.C6E879","RHC3845__Epithelial__.2749FE"
"54",0,3,"RHC3546__Tcell__.C6E879","RHC3846__Epithelial__.2749FE"
"55",0,3,"RHC3546__Tcell__.C6E879","RHC3847__Fibroblast__.FB4E09"
"56",0,3,"RHC3546__Tcell__.C6E879","RHC3848__Epithelial__.2749FE"
"57",0,3,"RHC3546__Tcell__.C6E879","RHC3849__Epithelial__.2749FE"
"58",0,3,"RHC3546__Tcell__.C6E879","RHC3850__Epithelial__.2749FE"
"59",0,3,"RHC3546__Tcell__.C6E879","RHC3851__Fibroblast__.FB4E09"
"60",0,3,"RHC3546__Tcell__.C6E879","RHC3852__Epithelial__.2749FE"
"61",0,3,"RHC3546__Tcell__.C6E879","RHC3854__Endothelial__.908DE5"
"62",0,5,"RHC3546__Tcell__.C6E879","RHC3855__Epithelial__.2749FE"
"63",0,3,"RHC3546__Tcell__.C6E879","RHC3856__Epithelial__.2749FE"
"64",0,3,"RHC3546__Tcell__.C6E879","RHC3862__Epithelial__.2749FE"
"65",0,3,"RHC3546__Tcell__.C6E879","RHC3863__Epithelial__.2749FE"
"66",0,3,"RHC3546__Tcell__.C6E879","RHC3864__Epithelial__.2749FE"
"67",0,3,"RHC3546__Tcell__.C6E879","RHC3865__Epithelial__.2749FE"
"68",0,2,"RHC3546__Tcell__.C6E879","RHC3866__Macrophage__.FFFF55"
"69",0,3,"RHC3546__Tcell__.C6E879","RHC3868__Epithelial__.2749FE"
"70",0,3,"RHC3546__Tcell__.C6E879","RHC3869__Epithelial__.2749FE"
"71",0,3,"RHC3546__Tcell__.C6E879","RHC3870__Epithelial__.2749FE"
"72",0,3,"RHC3546__Tcell__.C6E879","RHC3871__Epithelial__.2749FE"
"73",0,3,"RHC3546__Tcell__.C6E879","RHC3872__Epithelial__.2749FE"
"74",0,3,"RHC3546__Tcell__.C6E879","RHC3874__Epithelial__.2749FE"
"75",0,3,"RHC3546__Tcell__.C6E879","RHC3875__Epithelial__.2749FE"
"76",0,3,"RHC3546__Tcell__.C6E879","RHC3876__Epithelial__.2749FE"
"77",0,3,"RHC3546__Tcell__.C6E879","RHC3878__Epithelial__.2749FE"
"78",0,3,"RHC3546__Tcell__.C6E879","RHC3879__Epithelial__.2749FE"
"79",0,3,"RHC3546__Tcell__.C6E879","RHC3881__Epithelial__.2749FE"
"80",0,3,"RHC3546__Tcell__.C6E879","RHC3882__Epithelial__.2749FE"
"81",0,3,"RHC3546__Tcell__.C6E879","RHC3883__Epithelial__.2749FE"
"82",0,3,"RHC3546__Tcell__.C6E879","RHC3884__Epithelial__.2749FE"
"83",0,3,"RHC3546__Tcell__.C6E879","RHC3885__Fibroblast__.FB4E09"
"84",0,2,"RHC3546__Tcell__.C6E879","RHC3886__Macrophage__.FFFF55"
"85",0,3,"RHC3546__Tcell__.C6E879","RHC3890__Fibroblast__.FB4E09"
"86",0,3,"RHC3546__Tcell__.C6E879","RHC3891__Epithelial__.2749FE"
"87",0,3,"RHC3546__Tcell__.C6E879","RHC3894__Endothelial__.908DE5"
"88",0,3,"RHC3546__Tcell__.C6E879","RHC3895__Fibroblast__.FB4E09"
"89",0,3,"RHC3546__Tcell__.C6E879","RHC3897__Epithelial__.2749FE"
"90",0,3,"RHC3546__Tcell__.C6E879","RHC3898__Epithelial__.2749FE"
"91",0,3,"RHC3546__Tcell__.C6E879","RHC3900__Epithelial__.2749FE"
"92",0,3,"RHC3546__Tcell__.C6E879","RHC3902__Epithelial__.2749FE"
"93",0,7,"RHC3546__Tcell__.C6E879","RHC3911__Epithelial__.2749FE"
"94",0,3,"RHC3546__Tcell__.C6E879","RHC3915__Epithelial__.2749FE"
"95",0,3,"RHC3546__Tcell__.C6E879","RHC3919__Epithelial__.2749FE"
"96",0,3,"RHC3546__Tcell__.C6E879","RHC3922__Epithelial__.2749FE"
"97",0,3,"RHC3546__Tcell__.C6E879","RHC3923__Epithelial__.2749FE"
"98",0,3,"RHC3546__Tcell__.C6E879","RHC3925__Epithelial__.2749FE"
"99",0,2,"RHC3546__Tcell__.C6E879","RHC3901__Epithelial__.2749FE"
"100",0,2,"RHC3546__Tcell__.C6E879","RHC3903__Epithelial__.2749FE"
"101",0,1,"RHC3546__Tcell__.C6E879","RHC3904__Epithelial__.2749FE"
"102",0,4,"RHC3546__Tcell__.C6E879","RHC3905__Epithelial__.2749FE"
"103",0,1,"RHC3546__Tcell__.C6E879","RHC3906__Tcell__.C6E879"
"104",0,2,"RHC3546__Tcell__.C6E879","RHC3907__Macrophage__.FFFF55"
"105",0,2,"RHC3546__Tcell__.C6E879","RHC3909__Macrophage__.FFFF55"
"106",0,2,"RHC3546__Tcell__.C6E879","RHC3910__Epithelial__.2749FE"
"107",0,4,"RHC3546__Tcell__.C6E879","RHC3912__Bcell__.7DEA7B"
"108",0,5,"RHC3546__Tcell__.C6E879","RHC3914__Epithelial__.2749FE"
"109",0,1,"RHC3546__Tcell__.C6E879","RHC3920__Epithelial__.2749FE"
"110",0,5,"RHC3546__Tcell__.C6E879","RHC3924__Epithelial__.2749FE"
"111",0,2,"RHC3546__Tcell__.C6E879","RHC3926__Epithelial__.2749FE"
"112",0,2,"RHC3546__Tcell__.C6E879","RHC3927__Macrophage__.FFFF55"
"113",0,2,"RHC3546__Tcell__.C6E879","RHC3947__Epithelial__.2749FE"
"114",0,1,"RHC3546__Tcell__.C6E879","RHC4014__Epithelial__.2749FE"
"115",0,5,"RHC3546__Tcell__.C6E879","RHC4021__Epithelial__.2749FE"
"116",0,4,"RHC3546__Tcell__.C6E879","RHC4122__Epithelial__.2749FE"
"117",0,7,"RHC3546__Tcell__.C6E879","RHC4123__Epithelial__.2749FE"
"118",0,5,"RHC3546__Tcell__.C6E879","RHC4124__Epithelial__.2749FE"
"119",0,3,"RHC3546__Tcell__.C6E879","RHC4128__Fibroblast__.FB4E09"
"120",0,4,"RHC3546__Tcell__.C6E879","RHC4130__Epithelial__.2749FE"
"121",0,5,"RHC3546__Tcell__.C6E879","RHC4131__Epithelial__.2749FE"
"122",0,7,"RHC3546__Tcell__.C6E879","RHC4134__Epithelial__.2749FE"
"123",0,7,"RHC3546__Tcell__.C6E879","RHC4141__Epithelial__.2749FE"
"124",0,7,"RHC3546__Tcell__.C6E879","RHC4142__Epithelial__.2749FE"
"125",0,4,"RHC3546__Tcell__.C6E879","RHC4144__Epithelial__.2749FE"
"126",0,4,"RHC3546__Tcell__.C6E879","RHC4148__Epithelial__.2749FE"
"127",0,1,"RHC3546__Tcell__.C6E879","RHC4155__Epithelial__.2749FE"
"128",0,7,"RHC3546__Tcell__.C6E879","RHC4159__Epithelial__.2749FE"
"129",0,7,"RHC3546__Tcell__.C6E879","RHC4161__Epithelial__.2749FE"
"130",0,3,"RHC3546__Tcell__.C6E879","RHC4165__Fibroblast__.FB4E09"
"131",0,3,"RHC3546__Tcell__.C6E879","RHC4169__Fibroblast__.FB4E09"
"132",0,4,"RHC3546__Tcell__.C6E879","RHC4174__Epithelial__.2749FE"
"133",0,7,"RHC3546__Tcell__.C6E879","RHC4196__Epithelial__.2749FE"
"134",0,7,"RHC3546__Tcell__.C6E879","RHC4031__Epithelial__.2749FE"
"135",0,2,"RHC3546__Tcell__.C6E879","RHC4045__MastCell__.E596C5"
"136",0,7,"RHC3546__Tcell__.C6E879","RHC4050__Epithelial__.2749FE"
"137",0,2,"RHC3546__Tcell__.C6E879","RHC4051__Macrophage__.FFFF55"
"138",0,6,"RHC3546__Tcell__.C6E879","RHC4053__Tcell__.C6E879"
"139",0,7,"RHC3546__Tcell__.C6E879","RHC4065__Epithelial__.2749FE"
"140",0,2,"RHC3546__Tcell__.C6E879","RHC4067__Macrophage__.FFFF55"
"141",0,7,"RHC3546__Tcell__.C6E879","RHC4068__Epithelial__.2749FE"
"142",0,7,"RHC3546__Tcell__.C6E879","RHC4073__Epithelial__.2749FE"
"143",0,1,"RHC3546__Tcell__.C6E879","RHC4075__Epithelial__.2749FE"
"144",0,3,"RHC3546__Tcell__.C6E879","RHC4079__Fibroblast__.FB4E09"
"145",0,6,"RHC3546__Tcell__.C6E879","RHC4080__Bcell__.7DEA7B"
"146",0,6,"RHC3546__Tcell__.C6E879","RHC4083__Bcell__.7DEA7B"
"147",0,7,"RHC3546__Tcell__.C6E879","RHC4859__Epithelial__.2749FE"
"148",0,7,"RHC3546__Tcell__.C6E879","RHC4861__Epithelial__.2749FE"
"149",0,7,"RHC3546__Tcell__.C6E879","RHC4862__Epithelial__.2749FE"
"150",0,7,"RHC3546__Tcell__.C6E879","RHC4864__Bcell__.7DEA7B"
"151",0,5,"RHC3546__Tcell__.C6E879","RHC4866__Endothelial__.908DE5"
"152",0,7,"RHC3546__Tcell__.C6E879","RHC4871__Epithelial__.2749FE"
"153",0,4,"RHC3546__Tcell__.C6E879","RHC4872__Epithelial__.2749FE"
"154",0,7,"RHC3546__Tcell__.C6E879","RHC4874__Epithelial__.2749FE"
"155",0,7,"RHC3546__Tcell__.C6E879","RHC4877__Epithelial__.2749FE"
"156",0,7,"RHC3546__Tcell__.C6E879","RHC4878__Epithelial__.2749FE"
"157",0,7,"RHC3546__Tcell__.C6E879","RHC4879__Epithelial__.2749FE"
"158",0,5,"RHC3546__Tcell__.C6E879","RHC4880__Epithelial__.2749FE"
"159",0,5,"RHC3546__Tcell__.C6E879","RHC4881__Epithelial__.2749FE"
"160",0,6,"RHC3546__Tcell__.C6E879","RHC4886__Tcell__.C6E879"
"161",0,4,"RHC3546__Tcell__.C6E879","RHC4887__Epithelial__.2749FE"
"162",0,7,"RHC3546__Tcell__.C6E879","RHC4890__Epithelial__.2749FE"
"163",0,6,"RHC3546__Tcell__.C6E879","RHC4897__Bcell__.7DEA7B"
"164",0,7,"RHC3546__Tcell__.C6E879","RHC4900__Epithelial__.2749FE"
"165",0,7,"RHC3546__Tcell__.C6E879","RHC4902__Epithelial__.2749FE"
"166",0,5,"RHC3546__Tcell__.C6E879","RHC4910__Epithelial__.2749FE"
"167",0,5,"RHC3546__Tcell__.C6E879","RHC4911__Epithelial__.2749FE"
"168",0,4,"RHC3546__Tcell__.C6E879","RHC4915__Epithelial__.2749FE"
"169",0,7,"RHC3546__Tcell__.C6E879","RHC4916__Epithelial__.2749FE"
"170",0,5,"RHC3546__Tcell__.C6E879","RHC4921__Epithelial__.2749FE"
"171",0,7,"RHC3546__Tcell__.C6E879","RHC4922__Epithelial__.2749FE"
"172",0,7,"RHC3546__Tcell__.C6E879","RHC4924__Epithelial__.2749FE"
"173",0,7,"RHC3546__Tcell__.C6E879","RHC4925__Epithelial__.2749FE"
"174",0,7,"RHC3546__Tcell__.C6E879","RHC4926__Epithelial__.2749FE"
"175",0,7,"RHC3546__Tcell__.C6E879","RHC4931__Epithelial__.2749FE"
"176",0,7,"RHC3546__Tcell__.C6E879","RHC4935__Epithelial__.2749FE"
"177",0,7,"RHC3546__Tcell__.C6E879","RHC4937__Epithelial__.2749FE"
"178",0,7,"RHC3546__Tcell__.C6E879","RHC4938__Epithelial__.2749FE"
"179",0,7,"RHC3546__Tcell__.C6E879","RHC4940__Epithelial__.2749FE"
"180",0,7,"RHC3546__Tcell__.C6E879","RHC4944__Epithelial__.2749FE"
"181",0,7,"RHC3546__Tcell__.C6E879","RHC4945__Epithelial__.2749FE"
"182",0,7,"RHC3546__Tcell__.C6E879","RHC4947__Epithelial__.2749FE"
"183",0,2,"RHC3546__Tcell__.C6E879","RHC4743__Epithelial__.2749FE"
"184",0,6,"RHC3546__Tcell__.C6E879","RHC4745__Tcell__.C6E879"
"185",0,5,"RHC3546__Tcell__.C6E879","RHC4746__Epithelial__.2749FE"
"186",0,6,"RHC3546__Tcell__.C6E879","RHC4747__Tcell__.C6E879"
"187",0,2,"RHC3546__Tcell__.C6E879","RHC4751__Macrophage__.FFFF55"
